word,wordFreq,letterFreqSum,letterPosFreqSum
CIGAR,3993843.0,3327,840
REBUT,235254.0,3602,737
SISSY,1410911.0,1762,1181
HUMPH,60767.0,1534,502
AWAKE,3230337.0,2609,967
BLUSH,1722003.0,2517,846
FOCAL,5844761.0,3148,787
EVADE,605626.0,2750,884
NAVAL,8091649.0,2416,707
SERVE,36697856.0,2947,1236
HEATH,6139151.0,3321,892
DWARF,3072068.0,2688,637
MODEL,161205740.0,3408,934
KARMA,6862407.0,2398,618
STINK,872742.0,2850,1003
GRADE,54275130.0,3805,1179
QUIET,16746894.0,3124,1045
BENCH,8992211.0,2945,838
ABATE,470646.0,3214,1023
FEIGN,116753.0,3012,848
MAJOR,122592252.0,2968,758
DEATH,83216831.0,3714,934
FRESH,38781893.0,3411,887
CRUST,2267452.0,3235,1054
STOOL,3031945.0,2866,972
COLON,5494297.0,2517,851
ABASE,29383.0,3153,1055
MARRY,4388137.0,2612,1088
REACT,4126376.0,4306,1055
BATTY,416010.0,2408,1091
PRIDE,14428078.0,3555,1165
FLOSS,1013783.0,2366,785
HELIX,2921411.0,3040,588
CROAK,169181.0,3310,983
STAFF,151553180.0,2601,809
PAPER,134939426.0,3467,1032
UNFED,20266.0,2891,581
WHELP,70407.0,2892,621
TRAWL,553588.0,3511,902
OUTDO,146433.0,2341,464
ADOBE,27538755.0,3631,849
CRAZY,23032837.0,2811,1155
SOWER,137381.0,3742,1200
REPAY,1746487.0,3891,929
DIGIT,6991045.0,2102,790
CRATE,2336818.0,4306,1332
CLUCK,134048.0,1867,826
SPIKE,4833410.0,3143,1169
MIMIC,1187154.0,1461,558
POUND,13620117.0,2550,885
MAXIM,3820484.0,1998,623
LINEN,4960413.0,3189,873
UNMET,590631.0,3314,752
FLESH,6768724.0,3230,820
BOOBY,379438.0,1457,1083
FORTH,20149609.0,2995,853
FIRST,578161543.0,3193,923
STAND,46292709.0,3338,1048
BELLY,7346354.0,2650,1052
IVORY,7146685.0,2896,806
SEEDY,284954.0,2715,1216
PRINT,178250872.0,3234,1109
YEARN,300957.0,4099,833
DRAIN,6411642.0,3508,972
BRIBE,646492.0,3077,1152
STOUT,1939514.0,2616,1020
PANEL,53784382.0,3859,1055
CRASS,408565.0,3015,978
FLUME,173970.0,2957,990
OFFAL,194416.0,2673,391
AGREE,47500911.0,3412,1054
ERROR,89396475.0,2880,846
SWIRL,1251090.0,3145,980
ARGUE,8353605.0,3878,978
BLEED,1989071.0,2619,986
DELTA,28051872.0,4043,666
FLICK,2226500.0,2300,864
TOTEM,955271.0,3028,899
WOOER,0.0,3074,1134
FRONT,100886343.0,3181,1080
SHRUB,1458217.0,2698,765
PARRY,1371591.0,2661,1122
BIOME,174268.0,3249,1107
LAPEL,1119712.0,3286,921
START,161913408.0,3269,1151
GREET,1784219.0,3166,1130
GONER,80810.0,3763,1061
GOLEM,444797.0,3325,866
LUSTY,702157.0,3003,855
LOOPY,263368.0,2258,1023
ROUND,61836702.0,3082,849
AUDIT,20786243.0,3233,811
LYING,8260845.0,2693,598
GAMMA,35426622.0,1601,611
LABOR,37866418.0,3621,791
ISLET,488105.0,4013,733
CIVIC,10283668.0,1297,637
