word,wordFreq
AALII,0
AARGH,71592
AARTI,63273
ABACA,79841
ABACK,272920
ABAFT,19188
ABASE,29383
ABASH,0
ABASK,0
ABATE,470646
ABAYA,84401
ABBAS,1437558
ABBES,25330
ABBEY,4224864
ABBOT,992552
ABEAM,17316
ABEAR,0
ABELE,62988
ABETS,33014
ABHOR,169167
ABIDE,3722809
ABIES,185002
ABLED,122479
ABLER,29740
ABLES,252284
ABLOW,15776
ABMHO,0
ABODE,1246541
ABOHM,0
ABOIL,0
ABOMA,0
ABOON,0
ABORD,82154
ABORT,1569892
ABOUT,1226734006
ABOVE,141894620
ABRAM,610831
ABRAY,13971
ABRIM,0
ABRIN,0
ABRIS,21355
ABSIT,0
ABUNA,0
ABUSE,36269685
ABUTS,106431
ABUZZ,101924
ABYSM,0
ABYSS,1152408
ACARI,80144
ACCOY,0
ACERB,0
ACERS,31994
ACHAR,32197
ACHED,153141
ACHES,1116644
ACHOO,33177
ACIDS,8793940
ACING,35956
ACINI,24397
ACKER,317695
ACMIC,0
ACNES,44507
ACOCK,0
ACOLD,0
ACORN,1825652
ACRED,0
ACRES,14208905
ACRID,104638
ACROS,67908
ACTED,4468180
ACTIN,1356491
ACTON,1309016
ACTOR,16282891
ACUTE,11128841
ADAGE,419158
ADAPT,4675567
ADAYS,13959
ADBOT,19586
ADDAX,16108
ADDED,118410414
ADDER,888956
ADDIO,54645
ADDLE,15267
ADEEM,0
ADEPT,1595303
ADHAN,37011
ADIEU,274747
ADIOS,348221
ADITS,12932
ADMAN,30780
ADMIN,37835381
ADMIT,8780656
ADMIX,17678
ADOBE,27538755
ADOBO,73556
ADOPT,11272339
ADORE,1176240
ADORN,464591
ADOWN,15167
ADOZE,0
ADULT,97583096
ADUNC,0
ADUST,0
ADYTA,0
AEDES,173718
AEGIS,1349788
AEONS,92070
AERIE,107043
AEROS,137375
AESIR,33093
AFARA,0
AFARS,16470
AFEAR,0
AFFIX,444121
AFIRE,113772
AFOOT,364417
AFORE,191691
AFOUL,159727
AFROS,24950
AFTER,372948094
AGAIN,150781416
AGAMA,68959
AGAMI,18814
AGAPE,414471
AGATE,900451
AGAVE,312239
AGAZE,0
AGENT,57103658
AGERS,180316
AGGER,27373
AGGIE,616732
AGGRO,171343
AGGRY,0
AGILA,64661
AGILE,1808955
AGING,12014007
AGIOS,230082
AGIST,0
AGLET,21535
AGLEY,0
AGLOW,110328
AGOGE,0
AGONE,0
AGONY,1543205
AGOOD,24742
AGREE,47500911
AGRIA,0
AGRIN,23924
AHEAD,28375319
AHEAP,0
AHIGH,12899
AHIND,0
AHINT,0
AHOLD,295977
AHULL,0
AIDED,3314916
AIDER,140957
AIDES,1614522
AIGHT,127253
AILED,20703
AIMED,10030370
AIMER,96862
AIOLI,84769
AIRED,2159611
AIRER,36215
AIRTH,28113
AISLE,1917319
AITCH,28626
AIZLE,0
AJUGA,31146
AKELA,28395
AKING,105864
AKITA,440387
ALACK,38913
ALAMO,2162395
ALAND,874439
ALANE,34667
ALANG,48219
ALANS,34103
ALARM,17059844
ALARY,13261
ALATE,0
ALBEE,239116
ALBUM,77914316
ALDEA,47423
ALDER,972850
ALDOL,32614
ALECK,69914
ALEFT,0
ALEPH,692035
ALERT,32472727
ALFAS,23952
ALGAE,2068644
ALGAL,510781
ALGAS,36273
ALGID,0
ALGIN,0
ALGOR,79868
ALGUM,21242
ALIAS,7132147
ALIBI,448710
ALIEN,10490554
ALIGN,5478643
ALIKE,6220739
ALINE,267309
ALIST,270374
ALIVE,16064787
ALIYA,86771
ALKYD,101898
ALKYL,637228
ALLAY,203474
ALLEE,204946
ALLEL,39827
ALLEY,4541475
ALLIS,603850
ALLOT,396325
ALLOW,67052567
ALLOY,5468839
ALLYL,130966
ALMAS,48769
ALMES,44838
ALMUD,0
ALMUG,0
ALOED,0
ALOES,66464
ALOFT,497342
ALOHA,2099181
ALOIN,0
ALONE,39326417
ALONG,83444756
ALOOF,294291
ALOUD,3743858
ALOWE,0
ALPHA,27832836
ALTAR,2627835
ALTER,7831337
